real_temp_c,thermometer0_c,thermometer1_c,thermometer2_c
45.400000,40.404326,43.183333,42.634273
85.400000,71.604622,77.194566,76.363409
88.200000,73.902976,79.763024,78.500733
90.400000,76.046913,82.417273,81.591687
94.300000,78.472479,85.963375,85.118459
97.000000,80.217056,87.619039,86.139108
101.000000,83.149481,91.236618,89.966738
105.000000,87.089484,94.941035,93.500710
107.000000,88.578626,96.875128,95.567426
109.000000,90.442948,99.379519,97.896241
112.000000,92.472768,101.689117,100.352972
115.000000,95.143949,104.664289,102.464175
118.000000,98.424518,107.893139,105.799006
120.000000,99.043680,108.806695,107.356847
